State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
CA,6,17760,Howell Mountain Elementary School District,"3,791",382,18
CA,6,17850,Hueneme Elementary School District,"58,259","7,178","1,373"
CA,6,17880,Hughes-Elizabeth Lakes Union Elementary School District,"3,898",323,37
CA,6,60,Hughson Unified School District,"12,846","2,315",355
CA,6,18030,Huntington Beach City Elementary School District,"87,839","7,291",559
CA,6,18060,Huntington Beach Union High School District,"331,367","16,508","2,016"
CA,6,18120,Hydesville Elementary School District,"1,386",151,25
CA,6,18160,"Igo, Ono, Platina Union Elementary School District","1,025",75,15
CA,6,18210,Imperial Unified School District,"22,298","3,944",440
CA,6,18240,Indian Diggings Elementary School District,167,10,3
CA,6,18270,Indian Springs Elementary School District,220,18,3
CA,6,18390,Inglewood Unified School District,"115,933","19,407","4,321"
CA,6,84500,Irvine Unified School District,"197,643","28,266","2,673"
CA,6,18510,Island Union Elementary School District,"1,455",184,41
CA,6,18660,Jacoby Creek Elementary School District,"2,678",231,27
CA,6,18690,Jamestown Elementary School District,"8,863",485,79
CA,6,18730,Jamul-Dulzura Union Elementary School District,"9,388",893,157
CA,6,18780,Janesville Union Elementary School District,"3,184",372,61
CA,6,18810,Jefferson Elementary School District,206,25,5
CA,6,18840,Jefferson Elementary School District,"15,793","2,804",232
CA,6,18870,Jefferson Elementary School District,"93,171","8,342",750
CA,6,18930,Jefferson Union High School District,"153,271","6,906",423
CA,6,18990,John Swett Unified School District,"15,188","2,323",430
CA,6,19050,Johnstonville Elementary School District,"1,083",149,21
CA,6,19140,Julian Union Elementary School District,"4,353",368,22
CA,6,19110,Julian Union High School District,"4,837",210,38
CA,6,19170,Junction City Elementary School District,692,48,7
CA,6,19200,Junction Elementary School District,"3,750",378,63
CA,6,19230,Junction Elementary School District,147,13,2
CA,6,19260,Jurupa Unified School District,"106,754","21,683","3,625"
CA,6,32340,Kashia Elementary School District,81,9,3
CA,6,19320,Kelseyville Unified School District,"12,288","1,925",541
CA,6,19380,Kentfield Elementary School District,"11,769","1,372",60
CA,6,19410,Kenwood Elementary School District,"4,286",96,4
CA,6,19440,Keppel Union Elementary School District,"21,637","2,667",565
CA,6,19490,Kerman Unified School District,"20,992","4,726","1,277"
CA,6,19540,Kern High School District,"634,352","44,382","9,501"
CA,6,19590,Kernville Union Elementary School District,"12,311",923,290
CA,6,19620,Keyes Union Elementary School District,"6,210",967,257
CA,6,19680,King City Union Elementary School District,"16,778","2,700",660
CA,6,19700,Kings Canyon Joint Unified School District,"48,867","10,849","3,047"
CA,6,19740,Kings River Union Elementary School District,"3,396",536,212
CA,6,19770,Kings River-Hardwick Union Elementary School District,"2,610",414,63
CA,6,19800,Kingsburg Elementary Charter School District,"15,505","2,173",444
CA,6,19830,Kingsburg Joint Union High School District,"18,505","1,203",289
CA,6,19860,Kirkwood Elementary School District,299,34,9
CA,6,19890,Kit Carson Union Elementary School District,"2,408",328,71
CA,6,19920,Klamath River Union Elementary School District,473,31,12
CA,6,19950,Klamath-Trinity Joint Unified School District,"6,382","1,181",494
CA,6,19980,Kneeland Elementary School District,335,44,4
CA,6,20010,Knights Ferry Elementary School District,648,74,12
CA,6,20040,Knightsen Elementary School District,"2,696",348,45
CA,6,20070,Konocti Unified School District,"22,493","3,259","1,198"
CA,6,20130,La Cañada Unified School District,"18,329","3,704",155
CA,6,20190,La Habra City Elementary School District,"54,504","6,311","1,166"
CA,6,20220,La Honda-Pescadero Unified School District,"3,719",482,102
CA,6,20250,La Mesa-Spring Valley School District,"141,198","14,388","2,127"
CA,6,20310,Lafayette Elementary School District,"29,056","3,524",92
CA,6,20370,Laguna Beach Unified School District,"29,473","3,572",288
CA,6,20430,Laguna Joint Elementary School District,364,34,7
CA,6,20490,Lagunita Elementary School District,306,22,2
CA,6,20520,Lagunitas Elementary School District,"3,764",394,13
CA,6,20610,Lake Elementary School District,419,58,6
CA,6,27,Lake Elsinore Unified School District,"130,089","25,563","3,523"
CA,6,20640,Lake Tahoe Unified School District,"31,147","3,920",419
CA,6,20670,Lakeport Unified School District,"10,664","1,559",367
CA,6,20700,Lakeside Joint Elementary School District,"2,733",227,7
CA,6,20760,Lakeside Union Elementary School District,"2,542",402,150
CA,6,20790,Lakeside Union Elementary School District,"43,949","4,698",606
CA,6,20730,Lakeside Union School District,"9,396","1,474",229
CA,6,1410,Lammersville Joint Unified School District,"12,387","2,556",233
CA,6,20850,Lamont Elementary School District,"17,260","2,779","1,119"
CA,6,20880,Lancaster Elementary School District,"116,636","15,353","3,970"
CA,6,20910,Larkspur Elementary School District,"14,178","1,808",94
CA,6,22380,Las Lomitas Elementary School District,"12,190","1,539",58
CA,6,21000,Las Virgenes Unified School District,"66,237","11,732",632
CA,6,21060,Lassen Union High School District,"25,153","1,055",130
CA,6,21090,Lassen View Union Elementary School District,"2,845",319,55
CA,6,21150,Laton Joint Unified School District,"3,958",840,237
CA,6,21180,Latrobe Elementary School District,"2,767",233,7
CA,6,21210,Lawndale Elementary School District,"49,830","5,853","1,322"
CA,6,42580,Laytonville Unified School District,"2,929",421,133
CA,6,21240,Le Grand Union Elementary School District,"2,406",360,143
CA,6,21270,Le Grand Union High School District,"8,760",673,256
CA,6,9665,Leggett Valley Unified School District,601,88,10
CA,6,21330,Lemon Grove Elementary School District,"37,184","4,137",723
CA,6,21360,Lemoore Union Elementary School District,"25,893","3,850",771
CA,6,21400,Lemoore Union High School District,"38,047","2,370",415
CA,6,21420,Lennox Elementary School District,"30,163","4,196","1,288"
CA,6,21480,Lewiston Elementary School District,"1,552",101,25
CA,6,21540,Liberty Elementary School District,"1,978",162,7
CA,6,21570,Liberty Elementary School District,"2,124",181,66
CA,6,21600,Liberty Union High School District,"115,068","7,814",533
CA,6,21660,Lincoln Elementary School District,218,26,2
