Table with column headers in row 3,,,,,,
"2017 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2018",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,09090,Wellton Elementary District,"4,290",350,112
AZ,04,09120,Wenden Elementary District,817,99,51
AZ,04,09160,Whiteriver Unified District,"13,004","2,986","1,154"
AZ,04,09190,Wickenburg Unified District,"12,620","1,425",322
AZ,04,09250,Willcox Unified District,"8,105","1,453",329
AZ,04,09310,Williams Unified District,"6,015",889,263
AZ,04,09360,Williamson Valley Elementary School District,656,58,13
AZ,04,09390,Wilson Elementary District,"4,346",619,251
AZ,04,09430,Window Rock Unified District,"11,859","2,446",917
AZ,04,09460,Winslow Unified District,"11,721","2,137",641
AZ,04,09510,Yarnell Elementary District,"1,278",65,24
AZ,04,09540,Young Elementary School District,883,94,30
AZ,04,09570,Yucca Elementary District,710,47,7
AZ,04,09600,Yuma Elementary District,"105,235","10,702","2,671"
AZ,04,09630,Yuma Union High School District,"200,774","11,908","3,123"
AR,05,02250,Alma School District,"16,348","3,119",685
AR,05,02280,Alpena School District,"3,023",540,145
AR,05,02430,Arkadelphia School District,"15,770","1,963",445
AR,05,02550,Armorel School District,"1,340",305,44
AR,05,02580,Ashdown School District,"9,141","1,458",317
AR,05,02610,Atkins Public Schools,"6,822","1,194",229
AR,05,02670,Augusta School District,"3,218",467,206
AR,05,02700,Bald Knob School District,"7,481","1,373",334
AR,05,02730,Barton-Lexa School District,"2,761",513,191
AR,05,00019,Batesville School District,"20,033","3,416",652
AR,05,02790,Bauxite School District,"6,782","1,273",123
AR,05,02820,Bay School District,"3,256",579,72
AR,05,00032,Bearden School District,"3,266",522,113
AR,05,02880,Beebe School District,"17,869","3,489",595
AR,05,02960,Benton School District,"31,894","5,736",581
AR,05,03060,Bentonville Public Schools,"89,793","17,975","1,077"
AR,05,03090,Bergman School District,"5,016",903,129
AR,05,03150,Berryville Public Schools,"11,052","2,098",497
AR,05,03240,Bismarck Public Schools,"6,303",993,195
AR,05,03300,Blevins School District,"3,488",623,164
AR,05,03320,Blytheville School District,"15,514","2,918",984
AR,05,03450,Booneville School District,"7,478","1,198",324
AR,05,03480,Bradford School District,"2,972",530,97
AR,05,03630,Brinkley School District,"3,897",595,256
AR,05,03640,Brookland School District,"9,597","1,784",205
AR,05,03690,Bryant Public Schools,"51,666","9,719",880
AR,05,03710,Buffalo Island Central School District,"4,999",858,171
AR,05,03750,Cabot Public Schools,"51,462","10,362","1,289"
AR,05,03770,Caddo Hills School District,"3,550",562,204
AR,05,03840,Calico Rock School District,"3,588",403,89
AR,05,06060,Camden Fairview School District,"18,010","2,888",779
AR,05,03960,Carlisle School District,"4,483",765,92
AR,05,04050,Cave City School District,"8,496","1,538",434
AR,05,00070,Cedar Ridge School District,"5,590","1,021",203
AR,05,04080,Cedarville School District,"5,334",993,272
AR,05,06690,Centerpoint School District,"5,366",950,248
AR,05,04200,Charleston School District,"4,918",867,133
AR,05,04350,Clarendon School District,"3,225",462,174
AR,05,04380,Clarksville School District,"14,651","2,749",582
AR,05,00067,Cleveland County School District,"5,198",890,182
AR,05,04410,Clinton School District,"8,714","1,362",366
AR,05,04560,Concord Public Schools,"4,364",708,131
AR,05,04590,Conway Public Schools,"76,550","11,851","1,735"
AR,05,00009,Corning Public Schools,"6,674","1,106",277
AR,05,00405,Cossatot River School District,"5,193",999,356
AR,05,04680,Cotter School District,"4,519",662,164
AR,05,04740,County Line School District,"3,369",575,141
AR,05,07740,Cross County School District,"3,492",551,179
